date,description,amount
2024-01-15,Notion Personal Pro,10.0
2024-01-28,Netflix Monthly Subscription,15.99
2024-03-01,ChatGPT Plus Auto-Renew,20.0
2024-03-02,iCloud 200GB Storage Plan,2.99
2024-03-14,Substack Newsletter Sub,8.0
2024-04-09,Google One 100GB Storage,1.99
2024-04-11,Substack Newsletter Sub,8.0
2024-04-17,iCloud 200GB Storage Plan,2.99
2024-04-25,Disney+ Monthly Plan,13.99
2024-06-03,AWS Cloud Services,30.0
2024-06-06,Disney+ Monthly Plan,13.99
2024-07-21,PlayStation Plus Extra,17.99
2024-07-22,NYTimes Digital Subscription,4.0
2024-07-23,AWS Cloud Services,110.29
2024-08-06,Substack Newsletter Sub,8.0
2024-08-09,iCloud 200GB Storage Plan,2.99
2024-08-17,GitHub Pro Tier,4.0
2024-09-03,Adobe Creative Cloud Individual,54.99
2024-09-03,Notion Personal Pro,10.0
2024-09-12,PlayStation Plus Extra,17.99
2024-09-28,ChatGPT Plus Auto-Renew,20.0
2024-10-02,NYTimes Digital Subscription,4.0
2024-10-07,Slack Standard Workspace,8.75
2024-10-16,NYTimes Digital Subscription,4.0
2024-10-24,GitHub Pro Tier,4.0
2024-11-01,Google One 100GB Storage,1.99
2024-11-01,ChatGPT Plus Auto-Renew,20.0
2024-11-07,Disney+ Monthly Plan,13.99
2024-11-11,iCloud 200GB Storage Plan,2.99
2024-11-20,iCloud 200GB Storage Plan,2.99
2024-11-24,Gym Membership Monthly,49.99
2024-12-02,Adobe Creative Cloud Individual,54.99
2024-12-07,NYTimes Digital Subscription,4.0
2024-12-28,NYTimes Digital Subscription,4.0
2025-01-02,AWS Cloud Services,70.61
2025-02-04,Netflix Monthly Subscription,15.99
2025-02-14,Spotify Premium Subscription,10.99
2025-02-17,Gym Membership Monthly,49.99
2025-03-01,GitHub Pro Tier,4.0
2025-03-01,Netflix Monthly Subscription,15.99
2025-03-15,Google One 100GB Storage,1.99
2025-03-16,ChatGPT Plus Auto-Renew,20.0
2025-03-20,Google One 100GB Storage,1.99
2025-03-27,iCloud 200GB Storage Plan,2.99
2025-04-08,Netflix Monthly Subscription,15.99
2025-05-02,Gym Membership Monthly,49.99
2025-05-14,PlayStation Plus Extra,17.99
2025-05-25,Disney+ Monthly Plan,13.99
2025-06-06,Disney+ Monthly Plan,13.99
2025-07-03,Notion Personal Pro,10.0
2025-07-08,AWS Cloud Services,113.75
2025-07-22,ChatGPT Plus Auto-Renew,20.0
2025-07-25,NYTimes Digital Subscription,4.0
2025-08-04,Slack Standard Workspace,8.75
2025-09-04,Spotify Premium Subscription,10.99
2025-09-07,NYTimes Digital Subscription,4.0
2025-09-26,Spotify Premium Subscription,10.99
2025-09-27,Google One 100GB Storage,1.99
2025-09-28,iCloud 200GB Storage Plan,2.99
2025-10-12,Netflix Monthly Subscription,15.99
2025-10-15,Substack Newsletter Sub,8.0
2025-10-17,Disney+ Monthly Plan,13.99
2025-10-18,AWS Cloud Services,34.41
2025-11-24,NYTimes Digital Subscription,4.0
2025-12-17,Netflix Monthly Subscription,15.99
2025-12-21,Spotify Premium Subscription,10.99
2025-12-24,Spotify Premium Subscription,10.99
2025-12-28,NYTimes Digital Subscription,4.0
2026-01-17,ChatGPT Plus Auto-Renew,20.0
2026-01-19,Gym Membership Monthly,49.99
2026-01-28,ChatGPT Plus Auto-Renew,20.0
2026-02-21,Google One 100GB Storage,1.99
2026-03-03,AWS Cloud Services,16.74
2026-03-10,Disney+ Monthly Plan,13.99
2026-03-13,NYTimes Digital Subscription,4.0
2026-03-15,Disney+ Monthly Plan,13.99
2026-03-16,Adobe Creative Cloud Individual,54.99
2026-03-16,NYTimes Digital Subscription,4.0
2026-04-02,GitHub Pro Tier,4.0
2026-04-21,AWS Cloud Services,39.91
2026-04-23,Adobe Creative Cloud Individual,54.99
2026-05-03,AWS Cloud Services,77.2
2026-05-05,NYTimes Digital Subscription,4.0
2026-05-17,Google One 100GB Storage,1.99
2026-05-24,Disney+ Monthly Plan,13.99
2026-06-08,NYTimes Digital Subscription,4.0
2026-07-16,Netflix Monthly Subscription,15.99
2026-07-18,Notion Personal Pro,10.0
2026-07-26,GitHub Pro Tier,4.0
2026-08-01,Google One 100GB Storage,1.99
2026-08-08,NYTimes Digital Subscription,4.0
2026-08-22,ChatGPT Plus Auto-Renew,20.0
2026-09-01,Netflix Monthly Subscription,15.99
2026-09-09,iCloud 200GB Storage Plan,2.99
2026-09-21,iCloud 200GB Storage Plan,2.99
2026-10-07,GitHub Pro Tier,4.0
2026-10-11,Disney+ Monthly Plan,13.99
2026-10-27,Gym Membership Monthly,49.99
2026-11-22,AWS Cloud Services,118.26
2026-12-09,Netflix Monthly Subscription,15.99
