date,description,amount
2023-12-31,Disney+,14.03
2024-01-01,Gym Membership,50.21
2024-01-01,Slack Workspace,8.74
2024-01-02,AWS Hosting,43.81
2024-01-03,Google One,1.97
2024-01-03,Substack VIP,8.0
2024-01-04,Notion Pro,9.93
2024-01-04,ChatGPT Plus,19.87
2024-01-04,Netflix,15.74
2024-01-05,Gym Membership,49.57
2024-01-05,AWS Hosting,45.57
2024-01-07,Spotify,10.95
2024-01-07,Google One,2.01
2024-01-09,NYTimes Digital,3.97
2024-01-09,Adobe Creative Cloud,54.62
2024-01-10,Google One,2.01
2024-01-10,Spotify,10.98
2024-01-11,Target Store,87.75
2024-01-12,PlayStation Plus,18.21
2024-01-12,Disney+,14.16
2024-01-13,Adobe Creative Cloud,55.26
2024-01-13,Gym Membership,49.13
2024-01-14,PlayStation Plus,17.88
2024-01-14,ChatGPT Plus,19.95
2024-01-14,NYTimes Digital,4.04
2024-01-14,Google One,1.98
2024-01-15,Gym Membership,50.7
2024-01-16,AWS Hosting,44.39
2024-01-16,CVS Pharmacy,9.3
2024-01-17,Netflix,16.24
2024-01-18,Airbnb Booking,269.23
2024-01-19,Target Store,91.72
2024-01-19,iCloud Storage,3.06
2024-01-20,Trader Joe's,103.42
2024-01-20,Notion Pro,10.13
2024-01-23,Gym Membership,49.76
2024-01-23,NYTimes Digital,3.99
2024-01-23,Notion Pro,10.11
2024-01-25,Slack Workspace,8.76
2024-01-27,PlayStation Plus,17.89
2024-01-27,Disney+,14.19
2024-01-28,Google One,2.01
2024-01-30,NYTimes Digital,3.98
2024-01-30,AWS Hosting,45.0
2024-01-30,Netflix,15.88
2024-01-30,Slack Workspace,8.67
2024-01-31,Slack Workspace,8.79
2024-01-31,AWS Hosting,44.93
2024-01-31,Gym Membership,50.44
2024-01-31,Disney+,14.07
2024-02-01,Adobe Creative Cloud,55.25
2024-02-02,ChatGPT Plus,20.01
2024-02-02,Netflix,15.7
2024-02-02,AWS Hosting,44.51
2024-02-02,ChatGPT Plus,19.97
2024-02-02,Google One,1.97
2024-02-02,NYTimes Digital,4.03
2024-02-03,Substack VIP,7.91
2024-02-03,Notion Pro,10.01
2024-02-03,Gym Membership,50.05
2024-02-04,Notion Pro,9.83
2024-02-05,Substack VIP,8.04
2024-02-05,Spotify,10.85
2024-02-05,Slack Workspace,8.74
2024-02-07,Google One,1.98
2024-02-07,PlayStation Plus,17.86
2024-02-08,Netflix,15.81
2024-02-08,GitHub Pro,3.98
2024-02-08,Google One,2.0
2024-02-08,Spotify,10.93
2024-02-08,NYTimes Digital,4.03
2024-02-09,Spotify,10.89
2024-02-09,Disney+,14.18
2024-02-09,Adobe Creative Cloud,55.11
2024-02-09,Disney+,13.78
2024-02-10,Shell Gas Station,32.42
2024-02-11,GitHub Pro,4.02
