transaction_id,user_id,service_name,category,amount,currency,billing_cycle,status,payment_method,start_date,renewal_date
TXN-1001,USR-103,iCloud Storage,Cloud Storage,2.99,USD,Monthly,Active,Google Pay,2025-07-21,2025-08-21
TXN-1002,USR-106,iCloud Storage,Cloud Storage,2.99,USD,Monthly,Paused,Apple Pay,2024-08-08,2024-09-08
TXN-1003,USR-110,GitHub Pro,Developer Tools,40.0,USD,Annual,Cancelled,PayPal,2025-01-21,2026-01-21
TXN-1004,USR-110,Adobe Creative Cloud,Design,54.99,USD,Monthly,Active,Credit Card,2024-11-27,2024-12-27
TXN-1005,USR-109,NYTimes,News & Media,40.0,USD,Annual,Active,Apple Pay,2025-04-23,2026-04-23
TXN-1006,USR-109,ChatGPT Plus,AI Tools,200.0,USD,Annual,Paused,Credit Card,2025-02-07,2026-02-07
TXN-1007,USR-104,NYTimes,News & Media,4.0,USD,Monthly,Active,Credit Card,2025-05-26,2025-06-26
TXN-1008,USR-101,NYTimes,News & Media,4.0,USD,Monthly,Cancelled,Google Pay,2025-03-08,2025-04-08
TXN-1009,USR-104,AWS,Cloud Infrastructure,45.5,USD,Monthly,Cancelled,PayPal,2025-06-06,2025-07-06
TXN-1010,USR-114,Adobe Creative Cloud,Design,54.99,USD,Monthly,Active,PayPal,2025-02-12,2025-03-12
TXN-1011,USR-113,AWS,Cloud Infrastructure,45.5,USD,Monthly,Cancelled,Credit Card,2025-05-08,2025-06-08
TXN-1012,USR-113,Spotify,Music,10.99,USD,Monthly,Active,Credit Card,2024-09-13,2024-10-13
TXN-1013,USR-111,Netflix,Entertainment,15.99,USD,Monthly,Active,Credit Card,2025-08-12,2025-09-12
TXN-1014,USR-110,ChatGPT Plus,AI Tools,20.0,USD,Monthly,Active,Debit Card,2024-11-01,2024-12-01
TXN-1015,USR-107,iCloud Storage,Cloud Storage,2.99,USD,Monthly,Cancelled,Credit Card,2024-02-08,2024-03-08
TXN-1016,USR-111,iCloud Storage,Cloud Storage,2.99,USD,Monthly,Paused,Debit Card,2025-08-12,2025-09-12
TXN-1017,USR-107,ChatGPT Plus,AI Tools,20.0,USD,Monthly,Paused,Debit Card,2025-05-01,2025-06-01
TXN-1018,USR-112,Substack,News & Media,8.0,USD,Monthly,Active,Credit Card,2025-10-15,2025-11-15
TXN-1019,USR-107,PlayStation Plus,Gaming,17.99,USD,Monthly,Active,Apple Pay,2024-05-04,2024-06-04
TXN-1020,USR-103,PlayStation Plus,Gaming,17.99,USD,Monthly,Paused,Apple Pay,2024-07-13,2024-08-13
TXN-1021,USR-112,Adobe Creative Cloud,Design,549.9,USD,Annual,Active,Google Pay,2025-05-25,2026-05-25
TXN-1022,USR-109,NYTimes,News & Media,4.0,USD,Monthly,Cancelled,Debit Card,2025-07-26,2025-08-26
TXN-1023,USR-113,iCloud Storage,Cloud Storage,29.9,USD,Annual,Active,Credit Card,2025-09-27,2026-09-27
TXN-1024,USR-110,Notion,Productivity,10.0,USD,Monthly,Active,Credit Card,2024-01-05,2024-02-05
TXN-1025,USR-101,NYTimes,News & Media,4.0,USD,Monthly,Active,Credit Card,2025-01-20,2025-02-20
TXN-1026,USR-108,Slack,Communication,87.5,USD,Annual,Active,Debit Card,2024-05-17,2025-05-17
TXN-1027,USR-101,Netflix,Entertainment,15.99,USD,Monthly,Active,PayPal,2024-07-22,2024-08-22
TXN-1028,USR-106,Netflix,Entertainment,15.99,USD,Monthly,Active,Google Pay,2025-10-12,2025-11-12
TXN-1029,USR-105,iCloud Storage,Cloud Storage,2.99,USD,Monthly,Active,Debit Card,2025-06-17,2025-07-17
TXN-1030,USR-113,AWS,Cloud Infrastructure,455.0,USD,Annual,Active,Credit Card,2025-11-09,2026-11-09
TXN-1031,USR-103,ChatGPT Plus,AI Tools,20.0,USD,Monthly,Active,Apple Pay,2024-10-19,2024-11-19
TXN-1032,USR-107,AWS,Cloud Infrastructure,45.5,USD,Monthly,Cancelled,Credit Card,2025-08-01,2025-09-01
TXN-1033,USR-107,Spotify,Music,109.9,USD,Annual,Active,Apple Pay,2025-09-25,2026-09-25
TXN-1034,USR-109,Substack,News & Media,80.0,USD,Annual,Active,Apple Pay,2025-10-16,2026-10-16
TXN-1035,USR-111,AWS,Cloud Infrastructure,45.5,USD,Monthly,Active,Credit Card,2024-05-16,2024-06-16
TXN-1036,USR-108,iCloud Storage,Cloud Storage,2.99,USD,Monthly,Active,Debit Card,2025-03-16,2025-04-16
TXN-1037,USR-106,Adobe Creative Cloud,Design,54.99,USD,Monthly,Cancelled,Debit Card,2025-08-17,2025-09-17
TXN-1038,USR-102,Google One,Cloud Storage,1.99,USD,Monthly,Active,Credit Card,2024-09-03,2024-10-03
